RATING,TITLE,VERIFIED,TEXT,DATE
5.0 out of 5 stars,Great pastel colours,Verified Purchase,"Lovely pastel colours that are not “in your face”. I found that highlighting was less likely to soak through the pages than with the brighter colours. It also may sound odd, but the fact that these colours were muted/pastel reduced study anxiety slightly; so much nicer to see pale pink highlight on a page rather than neon pink screaming at you haha!",Reviewed in the United Kingdom on 16 March 2019
4.0 out of 5 stars,Brilliant.,Verified Purchase,"The colours are absolutely gorgeous, and they last a very long time. The only things don’t like, is that they’re very big and for me, awkward to hold at times. Their size means that my pencil case is quite full, not leaving much room for anything else. The smaller versions of these would be more convenient, but would probably hold less ink, and are for some reason more expensive. My next purchase of pastel highlighters will be the smaller ones, but if you prefer large highlighters, these are the best.",Reviewed in the United Kingdom on 6 March 2019
5.0 out of 5 stars,Really Reccomend,Verified Purchase,"Really nice pastel colours. These highlight over pen fairly well, leave the pen to dry for around a minute then highlight with no problems (staedtler textsurfer highlighters are the only better than these for highlighting pen) Pack fits in my drawer nicely and none of these have run out of ink in the 4/5 months that I have been using them.",Reviewed in the United Kingdom on 10 August 2017
5.0 out of 5 stars,All yellow pack,Verified Purchase,Great to be able to get a pack of just yellow highlighters. In most HS shops you can only buy mixed colour which I don't need. Good value pack.,Reviewed in the United Kingdom on 18 March 2021
4.0 out of 5 stars,Nice highlighters but don't last long for a regular user,Verified Purchase,As a student I do a lot of highlighting of what I'm reading and I find that one of these lasts me about 3-4 weeks for preparation for two classes a week.,Reviewed in the United Kingdom on 27 January 2021
4.0 out of 5 stars,Lovely colours!,Verified Purchase,I like how the yellow highlighter is still quite bold and bright but I love the pastel tones as I get headaches at the best of times when studying and bright colours sometimes make it worse so the pastels are cute and effective.,Reviewed in the United Kingdom on 23 November 2020
4.0 out of 5 stars,Unusual colours,Verified Purchase,"Bought for my daughter for school, she loves the unusual colours.Only downside is they are more expensive than standard highlighters",Reviewed in the United Kingdom on 25 September 2020
5.0 out of 5 stars,Lovely on my planner,TOP 1000 REVIEWER|Verified Purchase,"Got these for my planner, the colours are nice and soft, looking gorgeous in my planner, and great value when it was on offer. I was going to buy in the supermarket and got these on the Amazon lightening deal, great price!!",Reviewed in the United Kingdom on 31 August 2019
5.0 out of 5 stars,my favourites,Verified Purchase,"honestly love these highlighters a lot, i’ve had them throughout secondary, they lasted a good 3 years and a few of the colours still work even now but I thought it was time for a new set! i would never go back to the other normal highlighter colours, these are a lot prettier and worth the money !!!",Reviewed in the United Kingdom on 22 February 2021
5.0 out of 5 stars,"Stabilo last forever. Well maybe not, but they last a long time.",Verified Purchase,"I've given this purchase a 5 star rating because even though I haven't opened them yet, I know they'll be good. They're comfortable to hold and use. In this pack is a mixture of traditional colours and a couple I haven't tried before, so we'll see. Keeping them in their wallet is a bonus because you can put them away neatly.",Reviewed in the United Kingdom on 8 May 2021
5.0 out of 5 stars,"Great Product, Good Quailty!!",Verified Purchase,"My daughter loves these, she is always highlighting her work. They are still going strong as i brought these in september. Great Product, I would recommend these",Reviewed in the United Kingdom on 17 November 2020
